fid,ADM3_EN,Rain-fed (Map),Irrigated (Map),Rain-fed (DA),Irrigated (DA)
1,Ajuy,141386,79715,2245.95,4984.6
2,Alimodian,35718,33432,2033.85,796.75
3,Anilao,145377,89269,1057.3,748.94
4,Badiangan,54244,11594,3747.82,1020.45
5,Balasan,124341,75129,3802.29,1231.24
6,Banate,83977,122819,2625.57,3835.63
7,Barotac Nuevo,226178,166293,3793.79,5195.05
8,Barotac Viejo,192410,137035,4019.62,4364.88
9,Batad,43414,37710,1362.68,859.98
10,Bingawan,34286,2072,3553.02,886.5
11,Cabatuan,167488,75814,126,26.75
12,Calinog,109559,25614,6995.48,246.45
13,Carles,121334,35256,2699.95,0
14,Concepcion,40909,33092,1469.1,1192.46
15,Dingle,131181,121367,3034.75,5269.49
16,Dueñas,136231,24980,4356.52,370.75
17,Dumangas,142414,273640,3889.5,10514.3
18,Estancia,38189,25599,1052.5,128.75
19,Guimbal,38435,21262,948.25,393.25
20,Igbaras,23252,9893,2032.13,918.24
21,Iloilo City,47719,30489,198.4,117.35
22,Janiuay,98090,23694,4356.64,2377.8
23,Lambunao,116736,21846,7290.85,201.75
24,Leganes,33586,83025,58,2815.1
25,Lemery,235964,112370,2993.9,3897.85
26,Leon,29628,10951,4781,1120.5
27,Maasin,28089,3177,1866.9,281.25
28,Miagao,44466,25016,3022.85,2417
29,Mina,94973,76655,1456.42,3647.18
30,New Lucena,76464,42161,2668.6,1140.5
31,Oton,256588,226062,3261.29,5674.34
32,Passi City,266868,33913,10153.41,2655.74
33,Pavia,36609,44846,190.6,1081.2
34,Pototan,208255,297332,3148,10238.15
35,San Dionisio,125838,102128,4643.5,1350.11
36,San Enrique,161555,32351,1710.12,961.41
37,San Joaquin,28403,20721,2860.85,2187.2
38,San Miguel,82702,76765,2288.25,1888.25
39,San Rafael,108866,50946,2193.5,2028
40,Santa Barbara,156166,90097,7028.95,871
41,Sara,211735,164308,2846.95,2586.74
42,Tigbauan,142121,104813,2396.43,2021.35
43,Tubungan,8898,2068,1833.157,983.48
44,Zarraga,64072,84903,0,3691.87